235,102,117.3,-199.1,57.9
234,181,208.0,-192.3,57.3
235,262,235.9,-190.8,57.3
235,341,264.0,-187.7,59.7
312,100,177.1,-163.6,58.4
314,179,206.0,-161.9,58.1
314,258,236.4,-160.4,57.0
316,338,265.1,-158.0,58.0
394,99,175.3,-132.7,57.9
395,178,204.3,-131.9,59.9
396,257,234.1,-130.0,59.9
399,337,263.4,-128.2,59.6
400,416,292.2,-125.8,62.6
474,99,175.1,-101.4,59.5
476,178,201.9,-100.6,59.4
478,257,232.4,-99.8,60.1
479,335,262.1,-96.9,60.7
480,415,291.6,-96.4,60.6
553,97,172.4,-72.8,59.3
555,176,202.1,-70.7,60.2
557,255,231.0,-69.1,61.4
559,333,260.7,-67.9,62.0
559,412,290.3,-65.5,61.0
561,492,318.0,-63.9,63.3
632,96,172.7,-41.6,58.4
634,174,200.6,-41.0,59.9
636,254,229.4,-40.5,60.6
637,332,259.5,-37.6,61.4
424,411,287.9,-35.2,62.8
641,490,317.2,-33.8,64.0
713,174,199.5,-11.2,58.9
715,252,229.0,-8.6,60.3
716,330,258.3,-7.3,60.9
718,409,286.9,-6.2,61.6
480,489,315.7,-3.6,63.1
792,171,196.3,18.0,60.4
793,250,226.4,19.4,61.3
796,327,256.4,21.6,60.6
797,408,285.2,23.1,62.0
798,485,314.6,24.9,63.3
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
964,387,274.2,78.6,61.5
